# Test suite based on
#
#   Brigitte Verdonk, Annie Cuyt, Dennis Verschaeren, "A precision and
#   range independent tool for testing floating-point arithmetic I:
#   basic operations, square root and remainder," ACM Transactions on
#   Mathematical Software, 27, 92-118 (Mar 2001).
#   DOI: 10.1145/382043.382404
#
# adapted for used with double-double arithmetic, where each double has
# a 53-bit mantissa
#
# Mantissa precision: 53
#  Index             Function  Input x                                             Input y                                             Output z                                            ULP                        Error/ULP                 
       0                  Add  [                     Inf,                     Inf] [                     Inf,                     Inf] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       1                  Add  [                     Inf,                     Inf] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       2                  Add  [                     Inf,                     Inf] [ 0x1.0000000000000p+1023, 0x0.0000000000000p+0000] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       3                  Add  [                     Inf,                     Inf] [ 0x1.0000000000000p-0968,-0x1.0000000000000p-1074] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       4                  Add  [                     Inf,                     Inf] [-0x0.0000000000000p+0000,-0x0.0000000000000p+0000] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       5                  Add  [                     Inf,                     Inf] [-0x1.0000000000000p+1023,-0x0.0000000000000p+0000] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       6                  Add  [                     Inf,                     Inf] [-0x1.0000000000000p-0968, 0x1.0000000000000p-1074] [                     Inf,                     Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       7                  Add  [                     NaN,                     NaN] [                     Inf,                     Inf] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       8                  Add  [                     NaN,                     NaN] [                     NaN,                     NaN] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
       9                  Add  [                     NaN,                     NaN] [                    -Inf,                    -Inf] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      10                  Add  [                     NaN,                     NaN] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      11                  Add  [                     NaN,                     NaN] [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      12                  Add  [                     NaN,                     NaN] [ 0x1.0000000000000p-1074, 0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      13                  Add  [                     NaN,                     NaN] [ 0x1.fffffffffffffp+1023, 0x1.0000000000000p+0971] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      14                  Add  [                     NaN,                     NaN] [-0x0.0000000000000p+0000,-0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      15                  Add  [                     NaN,                     NaN] [-0x1.0000000000000p+0000,-0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      16                  Add  [                     NaN,                     NaN] [-0x1.0000000000000p-1074,-0x0.0000000000000p+0000] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      17                  Add  [                     NaN,                     NaN] [-0x1.fffffffffffffp+1023,-0x1.0000000000000p+0971] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      18                  Add  [                    -Inf,                    -Inf] [                     Inf,                     Inf] [                     NaN,                     NaN] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      19                  Add  [                    -Inf,                    -Inf] [                    -Inf,                    -Inf] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      20                  Add  [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      21                  Add  [                    -Inf,                    -Inf] [ 0x1.0000000000000p+1023, 0x0.0000000000000p+0000] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      22                  Add  [                    -Inf,                    -Inf] [ 0x1.0000000000000p-0968,-0x1.0000000000000p-1074] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      23                  Add  [                    -Inf,                    -Inf] [-0x0.0000000000000p+0000,-0x0.0000000000000p+0000] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      24                  Add  [                    -Inf,                    -Inf] [-0x1.0000000000000p+1023,-0x0.0000000000000p+0000] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      25                  Add  [                    -Inf,                    -Inf] [-0x1.0000000000000p-0968, 0x1.0000000000000p-1074] [                    -Inf,                    -Inf] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      26                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      27                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0106] [ 0x0.0000000000000p+0000]
      28                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0054] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0054] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      29                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0055] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0055] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      30                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0056] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0056] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      31                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0057] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0057] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      32                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0105] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0105] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      33                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0106] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0106] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      34                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0107] [ 0x1.0000000000000p+0000,-0x1.0000000000000p-0107] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      35                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000,-0x1.8000000000000p-0106] [ 0x1.0000000000000p+0000,-0x1.8000000000000p-0106] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      36                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+1023, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+1023, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0917] [ 0x0.0000000000000p+0000]
      37                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0968,-0x1.0000000000000p-1074] [ 0x1.0000000000000p-0968,-0x1.0000000000000p-1074] [ 0x1.0000000000000p-1074] [ 0x0.0000000000000p+0000]
      38                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.fffffffffffffp-0001, 0x0.0000000000000p+0000] [ 0x1.fffffffffffffp-0001, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0107] [ 0x0.0000000000000p+0000]
      39                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [-0x0.0000000000000p+0000,-0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      40                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [-0x1.0000000000000p-0968, 0x1.0000000000000p-1074] [-0x1.0000000000000p-0968, 0x1.0000000000000p-1074] [ 0x1.0000000000000p-1074] [ 0x0.0000000000000p+0000]
      41                  Add  [ 0x0.0000000000000p+0000, 0x0.0000000000000p+0000] [-0x1.0000000000000p-0968,-0x0.0000000000000p+0000] [-0x1.0000000000000p-0968,-0x0.0000000000000p+0000] [ 0x1.0000000000000p-1074] [ 0x0.0000000000000p+0000]
      42                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0001, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0105] [ 0x0.0000000000000p+0000]
      43                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0001, 0x0.0000000000000p+0000] [ 0x1.8000000000000p+0001, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0105] [ 0x0.0000000000000p+0000]
      44                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0107,-0x1.0000000000000p+0001] [ 0x1.0000000000000p+0107,-0x1.0000000000000p+0000] [ 0x1.0000000000000p+0000] [ 0x0.0000000000000p+0000]
      45                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0053, 0x1.0000000000000p-0106] [ 0x1.0000000000001p+0000,-0x1.fffffffffffffp-0054] [ 0x1.0000000000000p-0106] [ 0x0.0000000000000p+0000]
      46                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.c000000000000p+0002, 0x0.0000000000000p+0000] [ 0x1.0000000000000p+0003, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0103] [ 0x0.0000000000000p+0000]
      47                  Add  [ 0x1.0000000000000p+0000, 0x0.0000000000000p+0000] [ 0x1.c000000000000p+0003, 0x0.0000000000000p+0000] [ 0x1.e000000000000p+0003, 0x0.0000000000000p+0000] [ 0x1.0000000000000p-0103] [ 0x0.0000000000000p+0000]
