!! This file contains precision and range independent test vectors for
!! the operation addition/subtraction (+). The first character in each
!! test vector refers to the origin of the test vector
!! 
!! 2:  Jerome Coonen Version <2>
!! 3:  Jerome Coonen Version <3>
!!      @Phdthesis{ 
!!              author = {Coonen, J.T.},
!!              title  = {Contributions to a proposed standard for binary
!!                 floating-point arithmetic},
!!              school = {University of California, Berkeley},
!!              year   = {1984}}
!!
!! H:  precision independent encoding of UCB/<H>ough test vector
!!      @Unpublished{
!!             author = {David G. Hough and others},
!!             title  = {{UCBTEST}, a suite of programs for testing certain
!!                difficult cases of {IEEE} 754 floating-point arithmetic},
!!             year   = {1988},
!!             note   = {Restricted public domain software from
!!                http://netlib.bell-labs.com/netlib/fp/index.html}}
!!
!! A:  Verdonk-Cuyt-Verschaeren (University of <A>ntwerp)
!!      @Article{
!!             author  = {Verdonk, B. and Cuyt, A. and Verschaeren, D.},
!!             title   = {A precision- and range-independent tool for testing
!!                       floating-point arithmetic {I}: basic operations,
!!                       square root and remainder},
!!             journal = {ACM TOMS},
!!             volume  = {27},
!!             number  = {1},
!!             pages   = {92-118},
!!             year    = {2001}}
!! 
!! This file is part of the tool IeeeCC754 or IEEE 754 Compliance Checker.
!! It is a precision and range independent tool to test whether
!! an implementation of floating-point arithmetic (in hardware or
!! software) is compliant with the principles of the IEEE 754-854
!! floating-point standards. You can find out more about the testing
!! tool IeeeCC754 and the syntax and semantics of the test vectors
!! at
!!            http://www.win.ua.ac.be/~cant/ieeecc754.html
!!
!! Contact:                                                              
!!      Brigitte.Verdonk@ua.ac.be
!!      Departement Wiskunde en Informatica
!!      Universiteit Antwerpen
!!      Middelheimlaan 1
!!      B-2020 Antwerpen, Belgium
!!
!!
!!
!! Modifications for testing double-double arithmetic,
!! Michael J Donahue, NIST, Gaithersburg MD, USA:
!!
!! Tests not applicable to double-double disabled.
!!
!! Additions to the test syntax, for double-double arithmetic:
!!
!!    B, C, G, F, T
!!
!! In the definitions below, "bias" is the exponent bias of the double
!! arithmetic (typically 1023 for 8-byte floats, 16383 for 10-byte
!! floats), "dblprecision" is the precision of the double mantissa
!! (typically 53 or 64), "precision" is the double-double precision
!! (precision = 2*dblprecision + 1).  Define
!!
!!    B = bias
!!    C = B + dblprecision - precision
!!
!!    H = 2^(B+1)
!!    G = 2^(B+1) - 2^(B - dblprecision)
!!    F = 2^(B+1+dblprecision-precision) = 2^(C+1)
!!
!!    T = 2^(1-C)
!!
!! In the original test suite for IEEE floating point values the largest
!! representable finite value is
!!
!!   Hd1 = 2**(B+1) - 2**(B + 1 - precision)
!!
!! For double-double systems, however, the largest finite value is
!! instead
!!
!!   Gd1 = 2**(B+1) - 2**(B - dblprecision) - 2**(B + 1 - precision)
!!
!! On 8-byte (resp. 10-byte) double systems this works out to
!!
!!  Gd1(8-byte) = 2**(1024) - 2**(970) - 2**(917)
!!
!! Gd1(10-byte) = 2**(16384) - 2**(16319) - 2**(16255)
!!
!! The smallest positive normalized double-double value is T.
!!
!! Double-double specific tests added below are prefixed with the code
!! "D".
!!
!! MJD, July/September-2013
!!
!!
!!
!!!! first some easy cases
2+       ALL   1   1	OK   2
!! c0a00000 00000000 c0a00000 00000000 c0b00000 00000000 
H+       ALL   -1   -1	OK   -2
2+       ALL   1   2	OK   3
!! c0a00000 00000000 c0b00000 00000000 c0b80000 00000000
H+       ALL   -1   -2	OK   -3
2+       ALL   2   2	OK   4
2+       ALL   1   7	OK   8
A+       ALL   -1   -7	OK   -8
2+       ALL   5	-1	OK       4
A+       ALL   -5	1	OK       -4
2+       ALL   2	-5	OK       -3
A+       ALL   -2	5	OK       3
!! 40a00000 00000000 c0b00000 00000000 c0a00000 00000000
H+	ALL	2	-4	OK	-2
!! 40b00000 00000000 c0a00000 00000000 40a00000 00000000
H+	ALL	4	-2	OK	2
!! c0a00000 00000000 40b00000 00000000 40a00000 00000000
!! c0b00000 00000000 40a00000 00000000 c0a00000 00000000

!! Special representations

! Zero vs Zero -- watch signs and rounding modes.
2+       =0>   0   -0   OK       0
2+       <       0       -0       OK   -0
2+       ALL   0   0   OK   0
2+       ALL   -0   -0   OK       -0
!! Zero vs denormalized
2+       ALL   0   Td1   OK       Td1
2+       ALL   -0   Td1   OK   Td1
2+       ALL   0   -Td1   OK   -Td1
2+       ALL   -0   -Td1   OK   -Td1
2+       ALL   0i3       0       OK       0i3
2+       ALL   0i3       -0       OK   0i3
2+       ALL   -0i3       0       OK   -0i3
2+       ALL   -0i3       -0   OK   -0i3
!! Zero vs normal -- watch that sign of 0 is meaningless
2+       ALL   -0   -T   OK       -T
2+       ALL   T   0   OK   T
2+       ALL   0   -T   OK       -T
2+       ALL   0   Hm1   OK       Hm1
2+       ALL   -0   Hm1   OK   Hm1
2+       ALL   -Hm1       0       OK   -Hm1
2+       ALL   -Hm1       -0   OK   -Hm1
2+       ALL   1   -0   OK       1
2+       ALL   -1   -0   OK       -1
2+       ALL   0   1   OK   1
2+       ALL   5   -0   OK       5
2+       ALL   5   +0   OK       5
! Infinity vs 0.
2+       ALL   H   0   OK   H
2+       ALL   H   -0   OK       H
2+       ALL   -H   0   OK       -H
2+       ALL   -H   -0   OK       -H
!! NaN versus 0
2+          ALL     Q       0       OK      Q
2+          ALL     Q       -0      OK      Q
! 2+          ALL     S       0       i       Q
! 2+          ALL     S       -0      i       Q
! 2+          ALL     0       S       i       Q
! 2+          ALL     -0      S       i       Q
! Infinity vs Infinity.
2+       ALL   H   H   OK   H   ok - affine sum
2+       ALL   -H   -H   OK       -H
2+       ALL   -H   H   i   Q   different signs
! Infinity vs denormalized.
2+       ALL   H   Td1   OK       H
2+       ALL   -H   Td1   OK   -H
2+       ALL   H   -Td1   OK   H
2+       ALL   -H   -Td1   OK   -H
2+       ALL   0i3       H       OK       H
2+       ALL   0i3       -H       OK   -H
2+       ALL   -0i3       H       OK   H
2+       ALL   -0i3       -H   OK   -H
! Infinity vs huge.
2+       ALL   H   Hm1   OK       H
2+       ALL   H   -Hm1   OK   H
2+       ALL   -H   Hm1   OK   -H
2+       ALL   -H   -Hm1   OK   -H
!! Infinity vs NaN
2+          ALL     Q       H      OK      Q
2+          ALL     Q       -H     OK      Q
! 2+          ALL     S       H      i       Q
